,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
184,小覃推好房 中海锦城国际 看小区中庭 南北通透 ?,https://xm.58.com/ershoufang/44347651747484x.shtml,210,24794元/㎡,集美,锦园东二里18-27号,2室2厅1卫,84.7㎡,南北, 否 ,低层(共33层),简单装修,70年产权,2015年,中海锦城国际(一期),24968.0元/㎡,2.9元/平米/月,2.59,33,500
185,漳州开发区 苏格兰大3房 厦大附属双  学  区?,https://xm.58.com/ershoufang/44268005461787x.shtml,119,9445元/㎡,厦门周边,湘江路89号,3室2厅2卫,126.0㎡,南北, 否 ,高层(共18层),毛坯,70年产权,2015年,港昌新苏格兰,10591.0元/㎡,1.8元/平米/月,2.8,38.19,798
186,上新 （10.9）万首付买三房 三楼 业主换房诚?,https://xm.58.com/ershoufang/44282557010449x.shtml,49.9,9980元/㎡,厦门周边,龙池商业街19号,2室1厅1卫,50.0㎡,北, 否 ,中层(共7层),精装修,70年产权,2005年,云龙海岸,12086.0元/㎡,0.55元/平米/月,0,31,100
187,明发半岛！视野无遮挡好楼层好视野！290万！！！?,https://xm.58.com/ershoufang/44337417591956x.shtml,290,23294元/㎡,翔安,浦园一里1-20号,3室1厅2卫,124.5㎡,南北, 否 ,中层(共40层),毛坯,70年产权,2010年,明发半岛祥湾(A区),27353.0元/㎡,1.9元/平米/月,2.27,30,40
188,厦门西，首付8万精装两房，天然气入户，楼中楼，近?,https://xm.58.com/ershoufang/44084447623171x.shtml,28,9334元/㎡,厦门周边,角江路,2室2厅1卫,30.0㎡,南北, 否 ,中层(共20层),精装修,40年产权,2018年,e+国际(商住楼),9935.0元/㎡,0,0,"
                                            ",
189,马青路地铁口 精装修四房 2楼 读省优 超大赠送?,https://xm.58.com/ershoufang/44168096691985x.shtml,249,29339元/㎡,海沧,海富路241-287号,4室2厅2卫,84.87㎡,南北, 否 ,低层(共6层),精装修,70年产权,2003年,长欣花园,31828.0元/㎡,1.8元/平米/月,0,32,500
190,厦门湾1号 特价新房 单价9000 一线海景房 ?,https://xm.58.com/ershoufang/44346707052939x.shtml,65.7,9000元/㎡,厦门周边,南滨大道,2室2厅1卫,73.0㎡,南, 是 ,低层(共33层),精装修,70年产权,2017年,永鸿厦门湾1号,9509.0元/㎡,1.9元/平米/月,2.7,25,502
191,火车站万象城旁双地铁口电梯超高层精装皖美大3房?,https://xm.58.com/ershoufang/44271288717727x.shtml,795,60706元/㎡,思明,金榜路86-88号,3室2厅2卫,130.96㎡,南北, 否 ,高层(共25层),精装修,70年产权,2008年,枫丹雅苑,60538.0元/㎡,0.95元/平米/月,0,30,50
192,低市场价80万 三天必卖835万 不限购 高层朝?,https://xm.58.com/ershoufang/44324986266241x.shtml,835,43296元/㎡,湖里,祥店里2-10号,5室2厅3卫,192.86㎡,东南, 否 ,高层(共18层),精装修,70年产权,2006年,第二城幸福生活,47727.0元/㎡,1.6元/平米/月,3.38,40,500
193,读集美二小 电梯大三房送花园 不占学位 首付低?,https://xm.58.com/ershoufang/44311203527950x.shtml,419,27791元/㎡,集美,浔江路191之23号-191之24号,3室2厅2卫,150.77㎡,南, 否 ,中层(共13层),精装修,70年产权,2010年,永同昌万美花园,38171.0元/㎡,1.2元/平米/月,4.36,35,10
194,禾祥西思北联邦广场花园式小区带网球场精装修3房业?,https://xm.58.com/ershoufang/44156805496737x.shtml,628,65458元/㎡,思明,禾祥西路8之17-30,3室2厅2卫,95.94㎡,东南, 否 ,中层(共12层),精装修,70年产权,2000年,联邦广场,62431.0元/㎡,1.5元/平米/月,0,0,500
195,碧海蓝天，集美二小，电梯房，二院旁，正规三房两卫?,https://xm.58.com/ershoufang/44181420244356x.shtml,456,51819元/㎡,集美,浔江里1-18号,3室2厅2卫,88.0㎡,南, 否 ,中层(共12层),简单装修,70年产权,2012年,碧海蓝天(西区),50884.0元/㎡,1.5元/平米/月,1.5,45,100
196,3室2厅2卫 109.0平米 255.00万元?,https://xm.58.com/ershoufang/44194687948579x.shtml,255,23395元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.0㎡,南北, 否 ,中层(共12层),精装修,70年产权,2006年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
197,祥店 国贸阳光 幸福生活  中庭 精装  大三房?,https://xm.58.com/ershoufang/44270168615433x.shtml,610,45186元/㎡,湖里,祥店里2-10号,3室2厅2卫,135.0㎡,南北, 否 ,中层(共15层),精装修,70年产权,2006年,第二城幸福生活,47727.0元/㎡,1.6元/平米/月,3.38,40,500
198,台湾街，江头公园边，东方威尼斯电梯南北正规三房，?,https://xm.58.com/ershoufang/44311494839313x.shtml,450,50000元/㎡,湖里,江头北路76、132、150号,3室2厅2卫,90.0㎡,西南, 否 ,中层(共16层),简单装修,70年产权,2005年,东方威尼斯,47012.0元/㎡,1.7元/平米/月,2.7,30,200
199,万象城地铁口 封闭式花园小区 全明三房 双阳台 ?,https://xm.58.com/ershoufang/43736728891905x.shtml,750,65987元/㎡,思明,湖滨东路88号,3室2厅2卫,113.66㎡,南北, 否 ,中层(共14层),精装修,70年产权,2010年,佳祥花园,70982.0元/㎡,1.8元/平米/月,3.4,30,50
200,乐海旁 华森首 府 实验三小  28中 首付40?,https://xm.58.com/ershoufang/44267998591524x.shtml,183.8,22616元/㎡,同安,凤祥五里180-198号,3室1厅1卫,81.27㎡,北, 否 ,中层(共17层),简单装修,70年产权,2013年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
201,315万 电梯房 满二 欣华花园 楼层好 视野无?,https://xm.58.com/ershoufang/43980400651169x.shtml,315,38345元/㎡,湖里,华荣路60-88号,3室2厅1卫,82.15㎡,南北, 否 ,中层(共12层),精装修,70年产权,2001年,欣华花园,41904.0元/㎡,1.0元/平米/月,0,0,100
202,莲花 跌铁口 花园小区 龙江大厦 鹭江新城旁 电?,https://xm.58.com/ershoufang/43816551201441x.shtml,538,44463元/㎡,思明,莲秀里147-153、131号,3室2厅1卫,121.0㎡,南北, 否 ,中层(共15层),简单装修,70年产权,1999年,龙江大厦,50366.0元/㎡,1.0元/平米/月,0,35,30
203,阳鸿新城 3室2厅2卫 148.0平米 1280?,https://xm.58.com/ershoufang/43728667274125x.shtml,1250,84460元/㎡,思明,阳鸿园1-19号,3室2厅2卫,148.0㎡,南北, 否 ,中层(共12层),简单装修,,2004年,阳鸿新城,83727.0元/㎡,1.5元/平米/月,3.2,35,50
204,禾祥西，精装3房，全明格局，电梯，白鹭花园，有锁?,https://xm.58.com/ershoufang/44257534205582x.shtml,630,52257元/㎡,思明,禾祥西路304-308、318-322号,3室2厅2卫,120.56㎡,南北, 否 ,中层(共13层),精装修,70年产权,2000年,白鹭花园公寓,52323.0元/㎡,0.7元/平米/月,4.5,30,100
205,简单装修 665万 满二 幸福密码 楼层好 视野?,https://xm.58.com/ershoufang/44067756578821x.shtml,660,47483元/㎡,湖里,梧桐里26-45号,3室2厅2卫,139.0㎡,南北, 否 ,中层(共14层),简单装修,70年产权,2011年,幸福密码,61250.0元/㎡,1.6元/平米/月,3,35,600
206,山木清华 电梯房 3室2厅 简单装修 看房方便 ?,https://xm.58.com/ershoufang/44311858002694x.shtml,640,48762元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.25㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2004年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
207,禾祥西 永成大厦 后江小学对面 精装三房 大阳台?,https://xm.58.com/ershoufang/44037327367959x.shtml,688,64300元/㎡,思明,厦禾路795-801号,3室2厅2卫,107.0㎡,西北, 否 ,中层(共15层),精装修,70年产权,2002年,永成大厦,64274.0元/㎡,1.5元/平米/月,0,0,50
208,3室2厅121.10平方米朝南北?,https://xm.58.com/ershoufang/44336543492775x.shtml,325,26838元/㎡,海沧,嵩屿南二里52、58、60-69号,3室2厅2卫,121.1㎡,南北, 否 ,中层(共12层),精装修,70年产权,2004年,泉舜星园美第,29494.0元/㎡,0.9元/平米/月,2.3,35,50
209,电梯3房 拎包入住 南北通透 火车站商圈 皓晖花?,https://xm.58.com/ershoufang/44183598563109x.shtml,886,68154元/㎡,思明,禾祥东路67-87号,3室2厅2卫,130.0㎡,南北, 否 ,中层(共12层),豪华装修,70年产权,2004年,皓晖花园,64404.0元/㎡,1.8元/平米/月,2.96,35,150
210,瑞景单价3.9万加州旁商品房 电梯高层全明3房 ?,https://xm.58.com/ershoufang/43737149022750x.shtml,458,41915元/㎡,思明,莲前东路381、383号,3室2厅2卫,109.27㎡,南北, 否 ,中层(共12层),精装修,70年产权,2000年,联丰瑞园,41488.0元/㎡,1.5元/平米/月,0,0,200
211,3室2厅118.91平方米朝南北?,https://xm.58.com/ershoufang/44335781888006x.shtml,758,63746元/㎡,湖里,梧桐西里1-13号,3室2厅2卫,118.91㎡,南北, 否 ,中层(共17层),毛坯,70年产权,2012年,中央美地,69834.0元/㎡,2.2元/平米/月,2.45,40,800
212,（双阳台，尊贵花园小区，中芯万象城旁）金榜路东方?,https://xm.58.com/ershoufang/44112249986180x.shtml,780,62400元/㎡,思明,金榜路102-146号,3室2厅2卫,125.0㎡,南北, 否 ,中层(共12层),精装修,70年产权,2000年,东方巴黎,63355.0元/㎡,2.1元/平米/月,3,36,600
213,古楼广场电梯高层3房2厅2卫2阳台可看海看房有钥?,https://xm.58.com/ershoufang/44061021735815x.shtml,615,45221元/㎡,思明,古兴里1-6号,3室2厅2卫,136.0㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2000年,古兴里,51273.0元/㎡,0.0元/平米/月,0,0,100
214,五显里 3室2厅2卫 117.0平米 190.0?,https://xm.58.com/ershoufang/44004414672651x.shtml,190,16240元/㎡,同安,"五秀二里1-6号,五秀三里1-10号,五秀四里1-20号,西洋一里1-4号,西洋二里1-7号,西洋三里1-9号",3室2厅2卫,117.0㎡,南北, 否 ,中层(共17层),毛坯,,2000年,禹洲香溪里(公寓住宅),18431.0元/㎡,2.7元/平米/月,1.8,33,641
215,万科金域华府(二期) 精装修 满二  住房 3室?,https://xm.58.com/ershoufang/44104868438156x.shtml,292,34353元/㎡,集美,宁海一里33-48号,3室2厅1卫,85.0㎡,南北, 否 ,中层(共17层),精装修,70年产权,2014年,万科金域华府(二期),35555.0元/㎡,2.68元/平米/月,4.5,25,450
216,金帝大三房，满二空学位，价格美丽，看房方便?,https://xm.58.com/ershoufang/44070659638428x.shtml,300,23152元/㎡,同安,海城三里1-21号,3室2厅2卫,129.58㎡,南北, 否 ,中层(共16层),毛坯,70年产权,2015年,金帝中洲滨海城(一期),26006.0元/㎡,1.8元/平米/月,2,30,50
217,前埔不夜城 古楼广场小区 大3房2厅2卫 总 价?,https://xm.58.com/ershoufang/44215134344453x.shtml,615,45221元/㎡,思明,古兴里1-6号,3室2厅2卫,136.0㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2001年,古兴里,51273.0元/㎡,0.0元/平米/月,0,0,100
218,信源大厦 电梯三房精装修 满五   湖里中学?,https://xm.58.com/ershoufang/44256393632526x.shtml,345,31945元/㎡,湖里,兴隆路25-27号,3室2厅2卫,108.0㎡,东, 否 ,中层(共12层),精装修,70年产权,2000年,信源大厦,33779.0元/㎡,0.8元/平米/月,0,0,10
219,05年江头公园门口，楼中楼，高楼层，南北通透，江?,https://xm.58.com/ershoufang/44333342780955x.shtml,688,69495元/㎡,湖里,台湾街145-181号,3室2厅3卫,99.0㎡,南北, 否 ,中层(共16层),简单装修,70年产权,2005年,新景天湖广场,73017.0元/㎡,1.6元/平米/月,3.81,40,500
220,江头台湾街08年电梯房精装修南北通透大三房看中价?,https://xm.58.com/ershoufang/43891910086277x.shtml,578,57841元/㎡,湖里,江头东里1-11号,3室2厅1卫,99.93㎡,南北, 否 ,中层(共17层),精装修,70年产权,2008年,嘉盛花园(湖里),58481.0元/㎡,1.0元/平米/月,0,45,20
221,华森公园  周边配套完善，泳池健身影院一应俱全?,https://xm.58.com/ershoufang/44185126584743x.shtml,200,24284元/㎡,同安,凤祥五里180-198号,3室2厅1卫,82.36㎡,南, 否 ,中层(共12层),精装修,70年产权,2013年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
222,莲前山木清华。朝南精装三房，，满五  省税费，房?,https://xm.58.com/ershoufang/44104788995232x.shtml,635,48581元/㎡,思明,莲前西路351-369号,3室2厅2卫,130.71㎡,南北, 否 ,中层(共17层),精装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
223,乐海路 3室2厅1卫 91.0平米 260.00?,https://xm.58.com/ershoufang/44334094389762x.shtml,260,28572元/㎡,集美,乐海路25-29号,3室2厅1卫,91.0㎡,西南, 否 ,中层(共15层),精装修,,2013年,丰融尚城,29288.0元/㎡,1.8元/平米/月,3,35,140
224,火炬园地铁口永升新城电梯正规3室2厅2卫 113?,https://xm.58.com/ershoufang/44325592133265x.shtml,438,38762元/㎡,湖里,"嘉兴里1-58号,嘉园里1-47号",3室2厅2卫,113.0㎡,南北, 否 ,中层(共12层),豪华装修,70年产权,2002年,永升新城,40633.0元/㎡,1.2元/平米/月,2.39,42,500
225,万象城 封闭式花园小区 东方巴黎 全明豪装3房 ?,https://xm.58.com/ershoufang/44239340570894x.shtml,780,62636元/㎡,思明,金榜路102-146号,3室2厅2卫,124.53㎡,东北, 否 ,中层(共15层),豪华装修,70年产权,2004年,东方巴黎,63355.0元/㎡,2.1元/平米/月,3,36,600
226,山木清华朝南三房全明电梯房?,https://xm.58.com/ershoufang/44112533799939x.shtml,635,48216元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.7㎡,南北, 否 ,中层(共15层),简单装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
227,南北通透 全明格局 學区房 精装修 拎包入住价格?,https://xm.58.com/ershoufang/43891701663895x.shtml,598,59800元/㎡,思明,龙腾里1-8号,3室2厅1卫,100.0㎡,南北, 否 ,中层(共12层),精装修,70年产权,2009年,新莲花新龙山花园(二期),61546.0元/㎡,1.5元/平米/月,2.5,40,200
228,山木清华 满五  住房 666万 电梯房 3室2?,https://xm.58.com/ershoufang/43960966404110x.shtml,650,49524元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.25㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2004年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
229,3室2厅2卫 109.0平米 269.00万元?,https://xm.58.com/ershoufang/44169854264357x.shtml,269,24679元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.0㎡,南, 否 ,中层(共12层),简单装修,70年产权,2007年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
230,乐海旁华森国际精装三房仅售188万?,https://xm.58.com/ershoufang/43946695417605x.shtml,188,22925元/㎡,同安,凤祥五里180-198号,3室2厅1卫,82.01㎡,南, 否 ,中层(共12层),精装修,70年产权,2012年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
231,乐海BRT总站旁 同城四季北座 楼中楼248万 ?,https://xm.58.com/ershoufang/44134480400671x.shtml,248,21675元/㎡,同安,凤祥五里260-269号,3室2厅1卫,114.42㎡,南北, 否 ,中层(共17层),毛坯,70年产权,2014年,同城四季北座,22056.0元/㎡,1.8元/平米/月,5,35,450
232,满二年 南北向 三室二厅 精装修 东浦?,https://xm.58.com/ershoufang/43990911201315x.shtml,486,61102元/㎡,思明,厦禾路1116-1120号,3室2厅1卫,79.54㎡,南北, 否 ,中层(共12层),精装修,70年产权,2002年,假日花园,60461.0元/㎡,0.8元/平米/月,4.8,30,200
233,(真实保证)杏林桥头 万科金域华府二期精装三房 ?,https://xm.58.com/ershoufang/44193969304099x.shtml,295,35120元/㎡,集美,宁海一里33-48号,3室2厅1卫,84.0㎡,南北, 否 ,中层(共17层),精装修,70年产权,2014年,万科金域华府(二期),35555.0元/㎡,2.68元/平米/月,4.5,25,450
234,湖滨南路 非矿 禾祥西 梅园小区 华富大厦3房 ?,https://xm.58.com/ershoufang/43054322083494x.shtml,655,53839元/㎡,思明,后江埭路172-174号,3室2厅2卫,121.66㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2003年,华富大厦,54079.0元/㎡,1.5元/平米/月,0,0,500
235,古龙明珠 上下厝客厅朝南 当毛坯价卖 看集美大桥?,https://xm.58.com/ershoufang/44345413111561x.shtml,425,45213元/㎡,集美,印斗北里1-28号,3室2厅3卫,94.0㎡,东南, 否 ,中层(共12层),简单装修,70年产权,2010年,古龙明珠(公寓住宅),44687.0元/㎡,1.5元/平米/月,1.6,41,800
236,枋湖 大洋雅苑 高层3房不靠路 中庭 南北朝向 ?,https://xm.58.com/ershoufang/43762325551879x.shtml,535,47910元/㎡,湖里,枋湖东二里21-32号,3室2厅2卫,111.67㎡,南北, 否 ,中层(共15层),简单装修,70年产权,2011年,大洋雅苑,51287.0元/㎡,1.7元/平米/月,3.89,35,190
237,3室2厅1卫 78.0平米 170.00万元?,https://xm.58.com/ershoufang/44073235813026x.shtml,170,21795元/㎡,同安,梧侣路275-295,3室2厅1卫,78.0㎡,南, 否 ,中层(共16层),精装修,70年产权,2013年,禹洲阳光花城,21746.0元/㎡,2.8元/平米/月,2.59,30,50
238,殿前 3室2厅2卫 101.0平米 435.00?,https://xm.58.com/ershoufang/44112902359684x.shtml,435,43070元/㎡,湖里,长浩二里1-65号,3室2厅2卫,101.0㎡,南北, 否 ,中层(共13层),简单装修,,2008年,翔鹭花城三期,42457.0元/㎡,1.2元/平米/月,0,0,180
239,鹭江小学电梯房 单价4万4莲花捡漏刚需大家庭 看?,https://xm.58.com/ershoufang/44245747883045x.shtml,538,44467元/㎡,思明,莲秀里147-153、131号,3室2厅1卫,120.99㎡,南北, 否 ,中层(共13层),精装修,70年产权,2000年,龙江大厦,50366.0元/㎡,1.0元/平米/月,0,35,30
240,3室2厅2卫 130.0平米 916.00万元?,https://xm.58.com/ershoufang/44234095726630x.shtml,886,68154元/㎡,思明,禾祥东路67-87号,3室2厅2卫,130.0㎡,南北, 否 ,中层(共12层),豪华装修,,2004年,皓晖花园,64404.0元/㎡,1.8元/平米/月,2.96,35,150
241,湖里北区 3室2厅2卫 113.0平米 438.?,https://xm.58.com/ershoufang/44288200157827x.shtml,438,38762元/㎡,湖里,"嘉兴里1-58号,嘉园里1-47号",3室2厅2卫,113.0㎡,南北, 否 ,中层(共12层),豪华装修,,2002年,永升新城,40633.0元/㎡,1.2元/平米/月,2.39,42,500
242,高品质小区 东方巴黎 60万精装3房 送全套红木?,https://xm.58.com/ershoufang/44259247725957x.shtml,778,62475元/㎡,思明,金榜路102-146号,3室2厅2卫,124.53㎡,东北, 否 ,中层(共15层),精装修,70年产权,2005年,东方巴黎,63355.0元/㎡,2.1元/平米/月,3,36,600
243,卧龙BRT 山木清华 3房2厅?,https://xm.58.com/ershoufang/44222955620743x.shtml,635,48216元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.7㎡,南北, 否 ,中层(共15层),精装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
244,双桥明珠 120平精装3房  婚房未入住?,https://xm.58.com/ershoufang/44170055419537x.shtml,269,24679元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.0㎡,南, 否 ,中层(共12层),精装修,70年产权,2007年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
245,435万 电梯房 简单装修 翔鹭花城三期 3室2?,https://xm.58.com/ershoufang/44104337910293x.shtml,435,43070元/㎡,湖里,长浩二里1-65号,3室2厅2卫,101.0㎡,南北, 否 ,中层(共13层),简单装修,70年产权,2008年,翔鹭花城三期,42457.0元/㎡,1.2元/平米/月,0,0,180
246,业主换房 省优中小学莲花 捡漏房电梯大三房只要5?,https://xm.58.com/ershoufang/44102025641487x.shtml,538,44467元/㎡,思明,莲秀里147-153、131号,3室2厅1卫,120.99㎡,西北, 否 ,中层(共13层),简单装修,70年产权,1999年,龙江大厦,50366.0元/㎡,1.0元/平米/月,0,35,30
247,双桥明珠 满五  住房 248万 3室2厅 居家?,https://xm.58.com/ershoufang/44113432909217x.shtml,248,22616元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.66㎡,东南, 否 ,中层(共12层),简单装修,70年产权,2009年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
248,皓晖花园 南北通透 3室2厅2卫 131.0平米?,https://xm.58.com/ershoufang/44270352349833x.shtml,916,69924元/㎡,思明,禾祥东路67-87号,3室2厅2卫,131.0㎡,南北, 否 ,中层(共12层),毛坯,70年产权,2010年,皓晖花园,64404.0元/㎡,1.8元/平米/月,2.96,35,150
249,756万 中央美地 满二  住房 118平 诚心?,https://xm.58.com/ershoufang/44326831536903x.shtml,756,63578元/㎡,湖里,梧桐西里1-13号,3室2厅2卫,118.91㎡,东南, 否 ,中层(共17层),毛坯,70年产权,2010年,中央美地,69834.0元/㎡,2.2元/平米/月,2.45,40,800
250,BRT二市站，电梯3房，特房尊府，亿力乐园旁?,https://xm.58.com/ershoufang/44293677315478x.shtml,688,64126元/㎡,思明,厦禾路795-801号,3室2厅2卫,107.29㎡,西北, 否 ,中层(共15层),精装修,70年产权,2000年,永成大厦,64274.0元/㎡,1.5元/平米/月,0,0,50
251,龙湖花园 3室2厅1卫 102.0平米 520.?,https://xm.58.com/ershoufang/43805388939025x.shtml,520,50981元/㎡,湖里,枋湖西一里19-34号,3室2厅1卫,102.0㎡,南北, 否 ,中层(共13层),精装修,,2000年,龙湖花园(一期),51722.0元/㎡,1.0元/平米/月,3.19,35,200
252,芸溪公园二期 大面积 三房精装290万?,https://xm.58.com/ershoufang/43606135119655x.shtml,290,21179元/㎡,同安,银湖西里1-45号,3室2厅2卫,136.93㎡,南北, 否 ,中层(共12层),精装修,70年产权,2007年,芸溪居住公园(二期西组团),21552.0元/㎡,1.6元/平米/月,1.57,40,240
253,乐海广华森公园 3室2厅1卫 82.0平米 18?,https://xm.58.com/ershoufang/43772919262364x.shtml,188,22927元/㎡,同安,凤祥五里180-198号,3室2厅1卫,82.0㎡,南, 否 ,中层(共12层),简单装修,70年产权,2012年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
254,首付200万 万象城地铁口 06年电梯小区东南全?,https://xm.58.com/ershoufang/44178978082843x.shtml,638,62153元/㎡,思明,湖滨东路180-194号,3室2厅2卫,102.65㎡,东南, 否 ,中层(共16层),精装修,70年产权,2004年,金领广场,69882.0元/㎡,1.8元/平米/月,0,30,200
255,万象城10年次新盘绿家园边佳祥花园双地铁口三面采?,https://xm.58.com/ershoufang/43794931294619x.shtml,690,68460元/㎡,思明,湖滨东路88号,3室2厅2卫,100.79㎡,南, 否 ,中层(共15层),简单装修,70年产权,2000年,佳祥花园,70982.0元/㎡,1.8元/平米/月,3.4,30,50
256,文灶地铁口 白鹭花园 边套全明采光好 中间楼层 ?,https://xm.58.com/ershoufang/44333558355861x.shtml,630,52500元/㎡,思明,禾祥西路304-308、318-322号,3室2厅2卫,120.0㎡,南北, 否 ,中层(共13层),简单装修,70年产权,2000年,白鹭花园公寓,52323.0元/㎡,0.7元/平米/月,4.5,30,100
257,江头公园旁，南北通透大3房，05年电梯房，低于行?,https://xm.58.com/ershoufang/44337298457992x.shtml,530,43157元/㎡,湖里,江头北路76、132、150号,3室2厅2卫,122.81㎡,南北, 否 ,中层(共16层),毛坯,70年产权,2005年,东方威尼斯,47012.0元/㎡,1.7元/平米/月,2.7,30,200
258,吕厝地铁口，18年精装电梯三房，挑高复式，随时看?,https://xm.58.com/ershoufang/44333750365331x.shtml,255,65943元/㎡,湖里,嘉禾路296-312号,3室2厅1卫,38.67㎡,北, 否 ,中层(共13层),精装修,70年产权,2009年,福隆国际,55720.0元/㎡,1.8元/平米/月,4.9,35,60
259,3室2厅82.01平方米朝南北?,https://xm.58.com/ershoufang/44193841960717x.shtml,188,22925元/㎡,同安,凤祥五里180-198号,3室2厅1卫,82.01㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2013年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
260,嘉庚体育馆旁 新华都楼上 BRT沿线 空中花园 ?,https://xm.58.com/ershoufang/44283498387745x.shtml,260,28572元/㎡,集美,乐海路25-29号,3室2厅1卫,91.0㎡,西南, 否 ,中层(共15层),精装修,70年产权,2013年,丰融尚城,29288.0元/㎡,1.8元/平米/月,3,35,140
261,电梯高层 南北通透大三房 05年电梯房 山木清华?,https://xm.58.com/ershoufang/43958380001445x.shtml,666,50455元/㎡,思明,莲前西路351-369号,3室2厅2卫,132.0㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
262,风景湖畔，实验小学旁，双桥明珠精装3室2厅?,https://xm.58.com/ershoufang/43651271043476x.shtml,255,23254元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.66㎡,南北, 否 ,中层(共12层),精装修,70年产权,2010年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
263,万象城旁，皓晖花园，南北通透，电梯3房，读湖明，?,https://xm.58.com/ershoufang/43575017276836x.shtml,758,55950元/㎡,思明,禾祥东路67-87号,3室2厅2卫,135.48㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2004年,皓晖花园,64404.0元/㎡,1.8元/平米/月,2.96,35,150
264,3号地铁口！02年小区华荣路 电梯3房精装修！8?,https://xm.58.com/ershoufang/44159131789717x.shtml,315,38415元/㎡,湖里,华荣路60-88号,3室1厅1卫,82.0㎡,南, 否 ,中层(共12层),精装修,70年产权,2002年,欣华花园,41904.0元/㎡,1.0元/平米/月,0,0,100
265,保利叁仟栋精装大3房 带二次软装 直接拎包入住 ?,https://xm.58.com/ershoufang/44056918270887x.shtml,338,33170元/㎡,同安,美峰二里1-23号,3室2厅2卫,101.9㎡,南, 否 ,中层(共17层),精装修,70年产权,2018年,保利叁仟栋(一期公寓住宅),33659.0元/㎡,3.1元/平米/月,2.1,30,1000
266,厦门十佳小区 裕发花园 南北通透 厅带阳台三房 ?,https://xm.58.com/ershoufang/43009545378580x.shtml,648,48840元/㎡,湖里,兴山路28-124号,3室3厅2卫,132.68㎡,南北, 否 ,中层(共12层),豪华装修,70年产权,2010年,裕发花园,48973.0元/㎡,1.2元/平米/月,1.84,36,80
267,朝南户型 满五 山木清华 电梯三房 业主自住 看?,https://xm.58.com/ershoufang/44112466346405x.shtml,635,48581元/㎡,思明,莲前西路351-369号,3室2厅2卫,130.71㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
268,南北通透 3室2厅 电梯房 满二 89平 诚心出?,https://xm.58.com/ershoufang/44333023576088x.shtml,765,85840元/㎡,湖里,钟宅五里1-3号,3室2厅2卫,89.12㎡,南北, 否 ,中层(共16层),精装修,70年产权,2015年,新景翡翠苑,76462.0元/㎡,2.7元/平米/月,1.87,30,30
269,3室2厅135.58平方米朝南北?,https://xm.58.com/ershoufang/44205266925219x.shtml,830,61219元/㎡,湖里,枋湖东一里1-27号,3室2厅2卫,135.58㎡,南北, 否 ,中层(共13层),豪华装修,70年产权,2008年,书香佳缘,59923.0元/㎡,2.2元/平米/月,2.3,35,350
270,(真实保证)万科金域华府二期3室?,https://xm.58.com/ershoufang/44182126902298x.shtml,295,35120元/㎡,集美,宁海一里33-48号,3室2厅1卫,84.0㎡,南北, 否 ,中层(共17层),精装修,70年产权,,万科金域华府(二期),35555.0元/㎡,2.68元/平米/月,4.5,25,450
